status,distance,duration,distance_from_start,duration_from_start,location,stop_id,trip_id
travelling,1.20702901838523,124.0,3.6606622929770083,1516.0,"LINESTRING (36.801418022133056 -1.2209041991957081, 36.8013614416 -1.22111856937, 36.8013238907 -1.22151017189, 36.8013775349 -1.2218105793, 36.8015062809 -1.22214853764, 36.8017047644 -1.22245430946, 36.8019676208 -1.2227922678, 36.8022358418 -1.22297465801, 36.80283 -1.223314, 36.8035072088 -1.22362375259, 36.803879 -1.223886, 36.8040543795 -1.22408509254, 36.8043226004 -1.22455179691, 36.8049824238 -1.22631669044, 36.8050575256 -1.2267190218, 36.8050038815 -1.22716426849, 36.8048107624 -1.22775435448, 36.8043977022 -1.22880578041, 36.8039569833501 -1.2300482889659756)",,1011F110
at_stop,0.0,20.0,3.6606622929770083,1516.0,POINT (36.80399 -1.23006),0110VMT,1011F110
travelling,0.45869216236159377,57.0,4.119354455338602,1593.0,"LINESTRING (36.8039569833501 -1.2300482889659756, 36.8039524555 -1.23006105423, 36.8034160137 -1.23140215874, 36.8032228947 -1.23193860054, 36.8030619621 -1.23252332211, 36.8030512333 -1.23283982277, 36.8031209707 -1.23327434063, 36.803394556 -1.23394489288, 36.80340717037495 -1.2339720137761507)",,1011F110
at_stop,0.0,20.0,4.119354455338602,1593.0,POINT (36.80339 -1.23398),0100RRJ,1011F110
travelling,0.8705699062605124,103.0,4.9899243615991145,1716.0,"LINESTRING (36.80340717037495 -1.2339720137761507, 36.8036091328 -1.23440623283, 36.803909 -1.234813, 36.8043762445 -1.23516261578, 36.8095958233 -1.23782873154, 36.809872 -1.237996, 36.809942686481826 -1.2380433116197913)",,1011F110
at_stop,0.0,20.0,4.9899243615991145,1716.0,POINT (36.80994987 -1.238032579),0110UNA,1011F110
travelling,0.1953234040065807,31.0,5.185247765605695,1767.0,"LINESTRING (36.809942686481826 -1.2380433116197913, 36.810501 -1.238417, 36.81134663383175 -1.2391004737498619)",,1011F110
at_stop,0.0,20.0,5.185247765605695,1767.0,POINT (36.81125343 -1.239215791),0110LIG,1011F110
travelling,1.2222079716954573,138.0,6.407455737301152,1925.0,"LINESTRING (36.81134663383175 -1.2391004737498619, 36.8113660812 -1.23911619186, 36.812305 -1.239809, 36.81321 -1.240624, 36.8133616447 -1.24090254307, 36.8134850264 -1.24125123024, 36.8139410019 -1.24360620975, 36.8140804768 -1.24390661716, 36.814686656 -1.24465763569, 36.8149763346 -1.24514043331, 36.8159848452 -1.24775290489, 36.8162369728 -1.24810159206, 36.8165051937 -1.24834835529, 36.816574845465375 -1.2483947898013577)",,1011F110
at_stop,0.0,20.0,6.407455737301152,1925.0,POINT (36.81659102 -1.248370528),0110FSA,1011F110
