route_id,agency_id,route_short_name,route_long_name
80000002311,UON,23KG,Odeon-Chiromo-Westlands-Kangemi
80000011911,UON,119,Koja-Westgate-Wangige
80000114011,UON,114W,Ngara-Westlands-Kangemi-Limuru
80000115011,UON,115,Koja-Westlands-Kangemi-Limuru
80000119A11,UON,119A,Town-Westlands-Peponi Road-Spring Valley-ISK-Gathiga
80000135011,UON,135,Kaka-Westlands-Kangemi-Limuru
80100011811,UON,118,Koja-Westlands-Kabete-Wangige
80100048A11,UON,48A,Odeon-Chiromo-Strathmore School-Lavington
80101004811,UON,48O,Odeon-Chiromo-Kileleshwa-Othaya Road
80101048B11,UON,48B,Odeon-Chiromo-Westlands Bypass-Methodist Guesthouse-Othaya Road
80200004811,UON,48K,Westlands-ABC Place-Lavington-Kawangware
80200048C11,UON,48C,Odeon-Chiromo-Westlands-ByPass-Yaya
80400003011,UON,30,Odeon-Westlands-Kangemi-Uthiru
80500010511,UON,105,Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu
